Slice,Mean
1064,486.995
1065,478.101
1066,456
1067,429.332
1068,502.279
1069,481.841
1070,505.678
1071,442.288
1072,413.091
1073,443.433
1074,451.889
1075,506.99
1076,493.149
1077,469.543
1078,425.418
1079,464.351
1080,444.221
1081,440.649
1082,524.524
1083,524.567
1084,478.812
1085,488.183
1086,474.51
1087,472.462
1088,530.423
1089,504.298
1090,499.861
1091,486.447
1092,500.221
1093,457.202
1094,486.38
1095,561.356
1096,559.471
1097,467.293
1098,478.087
1099,487.106
1100,461
1101,479.865
1102,502.601
1103,505.663
1104,449.673
1105,447.981
1106,454.938
1107,491.274
1108,547.587
1109,537.106
1110,479.524
1111,441.346
1112,501.62
1113,485.808
1114,514.351
1115,555.928
1116,462.394
1117,452.635
1118,474.269
1119,478.577
1120,504.202
1121,502.144
1122,488.76
1123,463.692
1124,488.341
1125,454.341
1126,509.591
1127,494.327
1128,506.413
1129,489.423
1130,491.341
1131,431.832
1132,466.385
1133,520.49
1134,500.577
1135,509.024
1136,495.63
1137,464.404
1138,466.683
1139,506.447
1140,508.587
1141,483.755
1142,465.034
1143,405.543
1144,479.139
1145,521.159
1146,465.298
1147,507.466
1148,503.087
1149,479.481
1150,453.755
1151,525.736
1152,502.269
1153,559.356
1154,514.077
1155,506.014
1156,475.183
1157,482.423
1158,539.817
1159,528.048
1160,507.337
1161,503.721
1162,469.673
1163,440.793
1164,512.188
1165,544.909
1166,471.399
1167,482.99
1168,470.76
1169,438.462
1170,465.428
1171,468.317
1172,514.385
1173,444.962
1174,503.404
1175,456.197
1176,450.183
1177,515.163
1178,552.971
1179,499.183
1180,454.596
1181,452.351
1182,460.736
1183,515.457
1184,511.596
1185,487.101
1186,454.788
1187,474.005
1188,448.788
1189,509.072
1190,515.644
1191,484.942
1192,481.341
1193,460.808
1194,457.082
1195,471.01
1196,518.207
1197,542.76
1198,516.971
1199,479.952
1200,461.298
1201,514.692
1202,520.269
1203,476.567
1204,461.923
1205,483.438
1206,445.51
1207,507.875
1208,523.548
1209,479.822
1210,482.481
1211,448.923
1212,446.995
1213,440.183
1214,502.519
1215,489.971
1216,482.947
1217,447.591
1218,462.683
1219,425.846
1220,501.236
1221,533.591
1222,477.087
1223,482.005
1224,440.635
1225,490.587
1226,521.538
1227,504.24
1228,472.779
1229,469.428
1230,461.495
1231,434.067
1232,472.034
1233,513.495
1234,501.827
1235,488
1236,402.697
1237,466.106
1238,498.216
1239,490.13
1240,511.76
1241,513.298
1242,488.197
1243,476.5
1244,476.75
1245,524.918
1246,485.731
1247,525.062
1248,445.043
1249,455.663
1250,441.538
1251,470.976
1252,515.163
1253,513.38
1254,496.688
1255,465.846
1256,438.654
1257,438.904
1258,419.409
1259,534.332
1260,528.99
1261,536.37
1262,469.413
1263,488.865
1264,415.438
1265,467.577
1266,534.582
1267,557.231
1268,478.841
1269,474.591
1270,459.534
1271,465.707
1272,511.245
1273,517.678
1274,484.375
1275,435.014
1276,419.74
1277,461.38
1278,494.226
1279,588.303
